"Country or Area","Year(s)","Value","Value Footnotes"
"Cameroon","2011","91 [75-109]",""
"Cameroon","2010","103 [85-123]",""
"Cameroon","2009","102 [84-121]",""
"Cameroon","2008","105 [86-125]",""
"Cameroon","2007","117 [96-139]",""
"Cameroon","2006","119 [98-142]",""
"Cameroon","2005","121 [100-145]",""
"Cameroon","2004","125 [103-149]",""
"Cameroon","2003","124 [102-148]",""
"Cameroon","2002","120 [99-143]",""
"Cameroon","2001","114 [94-136]",""
"Cameroon","2000","105 [87-126]",""
"Canada","2012","0.31 [0.28-0.36]",""
"Canada","2011","0.32 [0.28-0.37]",""
"Canada","2010","0.32 [0.28-0.36]",""
"Canada","2009","0.4 [0.35-0.45]",""
"Canada","2008","0.39 [0.34-0.44]",""
"Canada","2007","0.36 [0.32-0.41]",""
"Canada","2006","0.34 [0.29-0.38]",""
"Canada","2005","0.33 [0.29-0.38]",""
"Canada","2004","0.32 [0.28-0.37]",""
"Canada","2003","0.33 [0.29-0.38]",""
"Canada","2002","0.33 [0.29-0.37]",""
"Canada","2001","0.34 [0.3-0.39]",""
"Canada","2000","0.32 [0.28-0.36]",""
"Central African Republic","2012","118 [97-141]",""
"Central African Republic","2011","131 [108-156]",""
"Central African Republic","2010","145 [119-172]",""
"Central African Republic","2009","160 [132-190]",""
"Central African Republic","2008","186 [153-221]",""
"Central African Republic","2007","216 [178-258]",""
"Central African Republic","2006","250 [207-298]",""
"Central African Republic","2005","287 [237-342]",""
"Central African Republic","2004","326 [269-388]",""
"Central African Republic","2003","366 [302-436]",""
"Central African Republic","2002","407 [336-486]",""
"Central African Republic","2001","450 [371-537]",""
"Central African Republic","2000","492 [406-587]",""
"Chad","2012","33 [27-39]",""
"Chad","2011","32 [26-38]",""
"Chad","2010","30 [25-36]",""
"Chad","2009","32 [27-38]",""
"Chad","2008","35 [29-41]",""
"Chad","2007","35 [29-42]",""
"Chad","2006","36 [30-43]",""
"Chad","2005","37 [31-44]",""
"Chad","2004","37 [31-45]",""
"Chad","2003","38 [32-45]",""
"Chad","2002","38 [32-45]",""
"Chad","2001","38 [31-45]",""
"Chad","2000","37 [31-44]",""
"Chile","2012","0.48 [0.42-0.54]",""
"Chile","2011","0.51 [0.44-0.57]",""
