"Country or Area","Year(s)","Value","Value Footnotes"
"Cyprus","2006","1.2 [1.1-1.4]",""
"Cyprus","2005","3.8 [3.3-4.3]",""
"Cyprus","2004","3.8 [3.3-4.3]",""
"Cyprus","2003","2.8 [2.4-3.2]",""
"Cyprus","2002","1.8 [1.6-2.1]",""
"Cyprus","2001","0.9 [0.79-1]",""
"Cyprus","2000","0 [0-0]",""
"Czech Republic","2012","37 [37-37]",""
"Czech Republic","2011","51 [50-51]",""
"Czech Republic","2010","35 [35-35]",""
"Czech Republic","2009","48 [47-48]",""
"Czech Republic","2008","51 [50-51]",""
"Czech Republic","2007","66 [65-66]",""
"Czech Republic","2006","57 [57-58]",""
"Czech Republic","2005","65 [64-65]",""
"Czech Republic","2004","69 [68-69]",""
"Czech Republic","2003","80 [80-80]",""
"Czech Republic","2002","82 [81-82]",""
"Czech Republic","2001","92 [92-93]",""
"Czech Republic","2000","120 [120-120]",""
"Democratic People's Republic of Korea","2012","2200 [2100-2400]",""
"Democratic People's Republic of Korea","2011","2500 [2400-2600]",""
"Democratic People's Republic of Korea","2010","2500 [2300-2600]",""
"Democratic People's Republic of Korea","2009","2500 [2300-2600]",""
"Democratic People's Republic of Korea","2008","2500 [2300-2600]",""
"Democratic People's Republic of Korea","2007","2500 [2300-2700]",""
"Democratic People's Republic of Korea","2006","2900 [2700-3100]",""
"Democratic People's Republic of Korea","2005","3000 [2700-3200]",""
"Democratic People's Republic of Korea","2004","3400 [3100-3600]",""
"Democratic People's Republic of Korea","2003","3700 [3500-4000]",""
"Democratic People's Republic of Korea","2002","3700 [3500-3900]",""
"Democratic People's Republic of Korea","2001","3700 [3400-3900]",""
"Democratic People's Republic of Korea","2000","4000 [3700-4300]",""
"Democratic Republic of the Congo","2012","36000 [16000-64000]",""
"Democratic Republic of the Congo","2011","35000 [15000-62000]",""
"Democratic Republic of the Congo","2010","33000 [15000-59000]",""
"Democratic Republic of the Congo","2009","32000 [14000-57000]",""
"Democratic Republic of the Congo","2008","34000 [15000-61000]",""
"Democratic Republic of the Congo","2007","30000 [13000-54000]",""
"Democratic Republic of the Congo","2006","30000 [13000-53000]",""
"Democratic Republic of the Congo","2005","29000 [13000-52000]",""
"Democratic Republic of the Congo","2004","29000 [12000-52000]",""
"Democratic Republic of the Congo","2003","29000 [12000-52000]",""
