Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ecuador,ECU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1178958456,1073533298,1004402766,1165340428,1439913955,2147944603,2026480314,3520672992,4472854631,3792122232,2622493356,2957999384,2486036144,4345840333,3941357098,2487276600,4215553160,2169697857,2158694032,2939049266,7136589071,7912190380,8459270682
"Egypt, Arab Rep.",EGY,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,13785040868,13598234040,14076054423,14603576021,15338514717,21856784929,26006845068,32214421786,34330505048,34896678266,37028506135,18637541110,15672467971,16536236826,14926998052,15858887326,23642691706,36400242556,41839242991,44568837112,38972812937,39824388217,32143926008
Euro area,EMU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,3.5198E+11,3.4605E+11,3.83933E+11,3.87351E+11,3.8279E+11,3.7753E+11,4.29171E+11,5.10183E+11,5.2244E+11,6.60335E+11,7.87898E+11,8.47726E+11,9.09438E+11,7.484E+11,7.45741E+11,7.01553E+11,7.41791E+11,8.02686E+11,8.22526E+11,9.14227E+11,1.07785E+12,1.19616E+12,1.18487E+12
Eritrea,ERI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,36131624.54,50449873.4,30282531.92,24707771.97,34746846.59,27944199.05,23576837.33,32407629.66,56020972.23,90010612.77,114149602.7,115328815.9,132764717.8,133338047.5,151753160.4,145070693.2,145371150.9,143412422.7,163033689.4,191694416.4,,,
Spain,ESP,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,35607623345,34235520830,40303470181,26809451669,19758627233,17227460742,19339948067,19028952268,20288388624,28051366380,31871836373,46704835357,50588475477,46335465038,50411846512,53973842236,63039926529,69400198866,70633189428,74731427284,81287702461,92201269195,92905070060
Estonia,EST,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,922839655.6,822453577.6,1003157301,1376698670,1791730277,1947311947,2786325227,3269362367,3971834389,3980641013,2567138087,207115695.5,300659803.2,314406126.7,436832954.5,414798362.4,352140743.4,345036507.9,755005588.3,1426439025,1996892749,2371477145,2216592399
Ethiopia,ETH,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,362554236.6,489895094.9,965896480.1,955608348.1,1496784362,1042595212,867438393.6,1289865496,870502510.2,1780874214,2241164556,2837310958,2301655548,2363513607,3525244981,3835287576,3030943951,3045571315,3987464166,2992704275,3046114359,,
European Union,EUU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,8409731733,8419388663,9825470848,11172946882,12913570497,11331633301,7498639358,8380474053,8353577867,11428834792,9547427725,10276057418,11082344912,11272356806,10679250780,10016275637,10465361380,10506846392,10309164187,11426621293,13479975777,16744106303,16036363939
