Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Gabon,GAB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,25800000,27020000,28550000,41310000,44200000,45370000,55670000,60410000,41290000,42950000,40830000,21140000,36350000,35590000,34140000,24240000,25290000,27340000,27220000,26480000,25870000,
United Kingdom,GBR,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,82820000,105920000,152870000,108010000,99750000,129460000,127060000,64400000,89140000,101110000,127880000,110300000,85240000,97100000,75120000,80390000,71380000,61480000,68290000,74480000,66520000,
Ghana,GHA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,125230000,112230000,126030000,137550000,138310000,123080000,141450000,94900000,102400000,108910000,115110000,114680000,156170000,163740000,155690000,137310000,141250000,125140000,131630000,142710000,136030000,
Gibraltar,GIB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,40000,40000,,20000,190000,,,,,,,,,,,,,,,,,
Guinea,GIN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,50900000,52250000,54960000,68670000,69740000,61580000,72720000,51250000,44430000,45550000,62080000,26820000,44570000,46720000,49530000,59160000,55980000,51430000,57970000,55720000,46000000,
"Gambia, The",GMB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,9610000,11340000,12620000,14080000,9680000,9080000,11240000,9320000,8590000,8080000,8240000,14470000,20680000,17640000,19840000,31630000,20630000,26450000,33870000,30240000,35420000,
Guinea-Bissau,GNB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,12850000,15060000,17500000,18920000,15090000,14820000,14980000,14590000,23660000,20810000,17780000,18760000,12640000,8300000,11630000,9740000,10130000,8170000,15890000,17090000,20300000,
Equatorial Guinea,GNQ,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,7910000,4870000,9770000,12300000,11690000,15610000,14970000,9260000,12240000,18580000,13720000,5460000,11510000,2790000,2320000,1960000,1190000,1520000,2110000,1530000,1400000,
Greece,GRC,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,4650000,1630000,1910000,1270000,1200000,1720000,1160000,780000,1660000,3200000,1300000,1430000,1520000,3520000,2550000,2650000,1700000,1600000,2150000,1090000,1620000,
Greenland,GRL,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
